url,type,title,title_len,city,meta,meta_len,h1,h1_count,h2_count,h3_count,question_headings,words,images,images_no_alt,internal_links,external_links,canonical,canonical_self,og_image,stock_og,faq,service,local,review,article,breadcrumb,schema,noindex,has_form,has_video,tel_link,score,grade,recommendations,issues
https://www.nexusnt.com/,company,"Nexus Network Technologies - Service that Surprises You, Security that Won’t. IT Matters.",89,False,"At Nexus we take a holistic approach to your IT and work hard to understand your specific business needs. Our expertise can be leveraged for your company, enabling you to focus on what you do best while offering peace of mind. We work for our clients to build",259,"Service that Surprises You, Security that Won’t. IT Matters.",1,6,0,2,554,8,0,48,2,https://www.nexusnt.com/,True,,False,False,False,False,False,False,True,"BreadcrumbList, EntryPoint, ImageObject, ListItem, Organization, PropertyValueSpecification, ReadAction, SearchAction, WebPage, WebSite",False,False,False,False,41,D,Rewrite the title to 30 to 60 characters | Add the city or service area to the title | Write a meta description of 70 to 160 characters | Add a five-question FAQ marked up as FAQPage | Add Service schema (or Article schema on a post) | Add LocalBusiness schema with the office address | Add Review or AggregateRating schema from real Google reviews | Set a branded share image (og:image) | Put a form or a tap-to-call number on the page,9
https://www.nexusnt.com/about-alt/,company,About - Nexus Network Technologies,34,False,"We are based in Raleigh, NC and work dynamically with our clients, operating in a virtual work-space and on-site to make collaboration seamless. Our combined experience allows us to translate business challenges into technical solutions that create immediate benefits to the organizations we support. We pass these savings along to our clients and thereby offer more affordable rates than our typical competitors. We build partnerships with local and national technology providers to offer our clients solutions that align with their needs. By maintaining strong vendor relationships, we are able to secure competitive pricing that is dramatically lower than what other providers can offer.",690,Accessing IT Just Got Easier.,1,2,0,0,313,5,0,43,2,https://www.nexusnt.com/about-alt/,True,,False,False,False,False,False,False,True,"BreadcrumbList, EntryPoint, ImageObject, ListItem, Organization, PropertyValueSpecification, ReadAction, SearchAction, WebPage, WebSite",False,False,False,False,38,F,Add the city or service area to the title | Write a meta description of 70 to 160 characters | Add a heading that asks the question the page answers | Add a five-question FAQ marked up as FAQPage | Add Service schema (or Article schema on a post) | Add LocalBusiness schema with the office address | Add Review or AggregateRating schema from real Google reviews | Set a branded share image (og:image) | Put a form or a tap-to-call number on the page,9
https://www.nexusnt.com/about-mike/,company,About-Mike - Nexus Network Technologies,39,False,"We are based in Raleigh, NC and work dynamically with our clients, operating in a virtual work-space and on-site to make collaboration seamless. Our combined experience allows us to translate business challenges into technical solutions that create immediate benefits to the organizations we support. We pass these savings along to our clients and thereby offer more affordable rates than our typical competitors. We build partnerships with local and national technology providers to offer our clients solutions that align with their needs. By maintaining strong vendor relationships, we are able to secure competitive pricing that is dramatically lower than what other providers can offer.",690,,0,1,1,0,201,3,0,39,2,https://www.nexusnt.com/about-mike/,True,,False,False,False,False,False,False,True,"BreadcrumbList, EntryPoint, ImageObject, ListItem, Organization, PropertyValueSpecification, ReadAction, SearchAction, WebPage, WebSite",False,False,False,False,18,F,Add the city or service area to the title | Write a meta description of 70 to 160 characters | Give the page exactly one H1 | Break the copy into two or more H2 sections | Add a heading that asks the question the page answers | Deepen to 300 words or more | Add a five-question FAQ marked up as FAQPage | Add Service schema (or Article schema on a post) | Add LocalBusiness schema with the office address | Add Review or AggregateRating schema from real Google reviews | Set a branded share image (og:image) | Put a form or a tap-to-call number on the page,12
https://www.nexusnt.com/about-ronnie/,company,About-Ronnie - Nexus Network Technologies,41,False,"We are based in Raleigh, NC and work dynamically with our clients, operating in a virtual work-space and on-site to make collaboration seamless. Our combined experience allows us to translate business challenges into technical solutions that create immediate benefits to the organizations we support. We pass these savings along to our clients and thereby offer more affordable rates than our typical competitors. We build partnerships with local and national technology providers to offer our clients solutions that align with their needs. By maintaining strong vendor relationships, we are able to secure competitive pricing that is dramatically lower than what other providers can offer.",690,,0,1,1,0,206,3,0,39,2,https://www.nexusnt.com/about-ronnie/,True,,False,False,False,False,False,False,True,"BreadcrumbList, EntryPoint, ImageObject, ListItem, Organization, PropertyValueSpecification, ReadAction, SearchAction, WebPage, WebSite",False,False,False,False,18,F,Add the city or service area to the title | Write a meta description of 70 to 160 characters | Give the page exactly one H1 | Break the copy into two or more H2 sections | Add a heading that asks the question the page answers | Deepen to 300 words or more | Add a five-question FAQ marked up as FAQPage | Add Service schema (or Article schema on a post) | Add LocalBusiness schema with the office address | Add Review or AggregateRating schema from real Google reviews | Set a branded share image (og:image) | Put a form or a tap-to-call number on the page,12
https://www.nexusnt.com/about-shane/,company,About-Shane - Nexus Network Technologies,40,False,"We are based in Raleigh, NC and work dynamically with our clients, operating in a virtual work-space and on-site to make collaboration seamless. Our combined experience allows us to translate business challenges into technical solutions that create immediate benefits to the organizations we support. We pass these savings along to our clients and thereby offer more affordable rates than our typical competitors. We build partnerships with local and national technology providers to offer our clients solutions that align with their needs. By maintaining strong vendor relationships, we are able to secure competitive pricing that is dramatically lower than what other providers can offer.",690,,0,1,0,0,159,3,0,39,2,https://www.nexusnt.com/about-shane/,True,,False,False,False,False,False,False,True,"BreadcrumbList, EntryPoint, ImageObject, ListItem, Organization, PropertyValueSpecification, ReadAction, SearchAction, WebPage, WebSite",False,False,False,False,18,F,Add the city or service area to the title | Write a meta description of 70 to 160 characters | Give the page exactly one H1 | Break the copy into two or more H2 sections | Add a heading that asks the question the page answers | Deepen to 300 words or more | Add a five-question FAQ marked up as FAQPage | Add Service schema (or Article schema on a post) | Add LocalBusiness schema with the office address | Add Review or AggregateRating schema from real Google reviews | Set a branded share image (og:image) | Put a form or a tap-to-call number on the page,12
https://www.nexusnt.com/about/,company,About - Nexus Network Technologies,34,False,"We are based in Raleigh, NC and work dynamically with our clients, operating in a virtual work-space and on-site to make collaboration seamless. Our combined experience allows us to translate business challenges into technical solutions that create immediate benefits to the organizations we support. We pass these savings along to our clients and thereby offer more affordable rates than our typical competitors. We build partnerships with local and national technology providers to offer our clients solutions that align with their needs. By maintaining strong vendor relationships, we are able to secure competitive pricing that is dramatically lower than what other providers can offer.",690,Accessing IT Just Got Easier.,1,2,0,0,313,5,0,43,2,https://www.nexusnt.com/about/,True,,False,False,False,False,False,False,True,"BreadcrumbList, EntryPoint, ImageObject, ListItem, Organization, PropertyValueSpecification, ReadAction, SearchAction, WebPage, WebSite",False,False,False,False,38,F,Add the city or service area to the title | Write a meta description of 70 to 160 characters | Add a heading that asks the question the page answers | Add a five-question FAQ marked up as FAQPage | Add Service schema (or Article schema on a post) | Add LocalBusiness schema with the office address | Add Review or AggregateRating schema from real Google reviews | Set a branded share image (og:image) | Put a form or a tap-to-call number on the page,9
https://www.nexusnt.com/av-as-a-service-form/,form,AV-as-a-Service Form - Nexus Network Technologies,49,False,Interested in NaaS for your business? Let’s get started.,56,Interested in AV for your Meeting Spaces? Let’s get started.,1,5,0,0,243,2,0,37,2,https://www.nexusnt.com/av-as-a-service-form/,True,,False,False,False,False,False,False,True,"BreadcrumbList, EntryPoint, ImageObject, ListItem, Organization, PropertyValueSpecification, ReadAction, SearchAction, WebPage, WebSite",False,True,False,False,33,F,Add the city or service area to the title | Write a meta description of 70 to 160 characters | Add a heading that asks the question the page answers | Deepen to 300 words or more | Add a five-question FAQ marked up as FAQPage | Add Service schema (or Article schema on a post) | Add LocalBusiness schema with the office address | Add Review or AggregateRating schema from real Google reviews | Set a branded share image (og:image),9
https://www.nexusnt.com/consultation-form/,form,Consultation Form - Nexus Network Technologies,46,False,Interested in Consultation and Project Services for your business? Let’s get started.,85,Interested in Consultation and Project Services for your business? Let’s get started.,1,4,0,0,217,2,0,37,2,https://www.nexusnt.com/consultation-form/,True,,False,False,False,False,False,False,True,"BreadcrumbList, EntryPoint, ImageObject, ListItem, Organization, PropertyValueSpecification, ReadAction, SearchAction, WebPage, WebSite",False,True,False,False,38,F,Add the city or service area to the title | Add a heading that asks the question the page answers | Deepen to 300 words or more | Add a five-question FAQ marked up as FAQPage | Add Service schema (or Article schema on a post) | Add LocalBusiness schema with the office address | Add Review or AggregateRating schema from real Google reviews | Set a branded share image (og:image),8
https://www.nexusnt.com/contact-us/,company,Contact Us - Nexus Network Technologies,39,False,Contact us with any questions regarding our services or how we can assist your company today. Please fill out the following information and you will be contacted within the same business day.,191,Let us know how we can assist you.,1,1,6,0,177,8,0,42,2,https://www.nexusnt.com/contact-us/,True,,False,False,False,False,False,False,True,"BreadcrumbList, EntryPoint, ImageObject, ListItem, Organization, PropertyValueSpecification, ReadAction, SearchAction, WebPage, WebSite",False,True,False,True,28,F,Add the city or service area to the title | Write a meta description of 70 to 160 characters | Break the copy into two or more H2 sections | Add a heading that asks the question the page answers | Deepen to 300 words or more | Add a five-question FAQ marked up as FAQPage | Add Service schema (or Article schema on a post) | Add LocalBusiness schema with the office address | Add Review or AggregateRating schema from real Google reviews | Set a branded share image (og:image),10
https://www.nexusnt.com/how-were-different/,company,How We’re Different - Nexus Network Technologies,48,False,"We created the kind of company we couldn’t find anywhere else, focusing on customer advocacy and real support that doesn’t disrupt your business. Whether you need help with a specific project or an IT leader to help you set strategy, we meet you where you are.",260,What is the Nexus Experience?,1,3,9,2,645,19,4,40,2,https://www.nexusnt.com/how-were-different/,True,,False,False,False,False,False,False,True,"BreadcrumbList, EntryPoint, ImageObject, ListItem, Organization, PropertyValueSpecification, ReadAction, SearchAction, WebPage, WebSite",False,False,False,False,42,D,Add the city or service area to the title | Write a meta description of 70 to 160 characters | Alt text on every image | Add a five-question FAQ marked up as FAQPage | Add Service schema (or Article schema on a post) | Add LocalBusiness schema with the office address | Add Review or AggregateRating schema from real Google reviews | Set a branded share image (og:image) | Put a form or a tap-to-call number on the page,9
